study,plot,depth.cm,sample.id
CCNRD,101,15,101CCNRD15
CCNRD,101,30,101CCNRD30
CCNRD,101,60,101CCNRD60
CCNRD,101,90,101CCNRD90
CCNRD,102,15,102CCNRD15
CCNRD,102,30,102CCNRD30
CCNRD,102,60,102CCNRD60
CCNRD,102,90,102CCNRD90
CCNRD,103,15,103CCNRD15
CCNRD,103,30,103CCNRD30
CCNRD,103,60,103CCNRD60
CCNRD,103,90,103CCNRD90
CCNRD,104,15,104CCNRD15
CCNRD,104,30,104CCNRD30
CCNRD,104,60,104CCNRD60
CCNRD,104,90,104CCNRD90
CCNRD,105,15,105CCNRD15
CCNRD,105,30,105CCNRD30
CCNRD,105,60,105CCNRD60
CCNRD,105,90,105CCNRD90
CCNRD,106,15,106CCNRD15
CCNRD,106,30,106CCNRD30
CCNRD,106,60,106CCNRD60
CCNRD,106,90,106CCNRD90
CCNRD,107,15,107CCNRD15
CCNRD,107,30,107CCNRD30
CCNRD,107,60,107CCNRD60
CCNRD,107,90,107CCNRD90
CCNRD,108,15,108CCNRD15
CCNRD,108,30,108CCNRD30
CCNRD,108,60,108CCNRD60
CCNRD,108,90,108CCNRD90
CCNRD,109,15,109CCNRD15
CCNRD,109,30,109CCNRD30
CCNRD,109,60,109CCNRD60
CCNRD,109,90,109CCNRD90
CCNRD,110,15,110CCNRD15
CCNRD,110,30,110CCNRD30
CCNRD,110,60,110CCNRD60
CCNRD,110,90,110CCNRD90
CCNRD,111,15,111CCNRD15
CCNRD,111,30,111CCNRD30
CCNRD,111,60,111CCNRD60
CCNRD,111,90,111CCNRD90
CCNRD,112,15,112CCNRD15
CCNRD,112,30,112CCNRD30
CCNRD,112,60,112CCNRD60
CCNRD,112,90,112CCNRD90
CCNRD,201,15,201CCNRD15
CCNRD,201,30,201CCNRD30
CCNRD,201,60,201CCNRD60
CCNRD,201,90,201CCNRD90
CCNRD,202,15,202CCNRD15
CCNRD,202,30,202CCNRD30
CCNRD,202,60,202CCNRD60
CCNRD,202,90,202CCNRD90
CCNRD,203,15,203CCNRD15
CCNRD,203,30,203CCNRD30
CCNRD,203,60,203CCNRD60
CCNRD,203,90,203CCNRD90
CCNRD,204,15,204CCNRD15
CCNRD,204,30,204CCNRD30
CCNRD,204,60,204CCNRD60
CCNRD,204,90,204CCNRD90
CCNRD,205,15,205CCNRD15
CCNRD,205,30,205CCNRD30
CCNRD,205,60,205CCNRD60
CCNRD,205,90,205CCNRD90
CCNRD,206,15,206CCNRD15
CCNRD,206,30,206CCNRD30
CCNRD,206,60,206CCNRD60
CCNRD,206,90,206CCNRD90
CCNRD,207,15,207CCNRD15
CCNRD,207,30,207CCNRD30
CCNRD,207,60,207CCNRD60
CCNRD,207,90,207CCNRD90
CCNRD,208,15,208CCNRD15
CCNRD,208,30,208CCNRD30
CCNRD,208,60,208CCNRD60
CCNRD,208,90,208CCNRD90
CCNRD,209,15,209CCNRD15
CCNRD,209,30,209CCNRD30
CCNRD,209,60,209CCNRD60
CCNRD,209,90,209CCNRD90
CCNRD,210,15,210CCNRD15
CCNRD,210,30,210CCNRD30
CCNRD,210,60,210CCNRD60
CCNRD,210,90,210CCNRD90
CCNRD,211,15,211CCNRD15
CCNRD,211,30,211CCNRD30
CCNRD,211,60,211CCNRD60
CCNRD,211,90,211CCNRD90
CCNRD,212,15,212CCNRD15
CCNRD,212,30,212CCNRD30
CCNRD,212,60,212CCNRD60
CCNRD,212,90,212CCNRD90
CCNRD,301,15,301CCNRD15
CCNRD,301,30,301CCNRD30
CCNRD,301,60,301CCNRD60
CCNRD,301,90,301CCNRD90
CCNRD,302,15,302CCNRD15
CCNRD,302,30,302CCNRD30
CCNRD,302,60,302CCNRD60
CCNRD,302,90,302CCNRD90
CCNRD,303,15,303CCNRD15
CCNRD,303,30,303CCNRD30
CCNRD,303,60,303CCNRD60
CCNRD,303,90,303CCNRD90
CCNRD,304,15,304CCNRD15
CCNRD,304,30,304CCNRD30
CCNRD,304,60,304CCNRD60
CCNRD,304,90,304CCNRD90
CCNRD,305,15,305CCNRD15
CCNRD,305,30,305CCNRD30
CCNRD,305,60,305CCNRD60
CCNRD,305,90,305CCNRD90
CCNRD,306,15,306CCNRD15
CCNRD,306,30,306CCNRD30
CCNRD,306,60,306CCNRD60
CCNRD,306,90,306CCNRD90
CCNRD,307,15,307CCNRD15
CCNRD,307,30,307CCNRD30
CCNRD,307,60,307CCNRD60
CCNRD,307,90,307CCNRD90
CCNRD,308,15,308CCNRD15
CCNRD,308,30,308CCNRD30
CCNRD,308,60,308CCNRD60
CCNRD,308,90,308CCNRD90
CCNRD,309,15,309CCNRD15
CCNRD,309,30,309CCNRD30
CCNRD,309,60,309CCNRD60
CCNRD,309,90,309CCNRD90
CCNRD,310,15,310CCNRD15
CCNRD,310,30,310CCNRD30
CCNRD,310,60,310CCNRD60
CCNRD,310,90,310CCNRD90
CCNRD,311,15,311CCNRD15
CCNRD,311,30,311CCNRD30
CCNRD,311,60,311CCNRD60
CCNRD,311,90,311CCNRD90
CCNRD,312,15,312CCNRD15
CCNRD,312,30,312CCNRD30
CCNRD,312,60,312CCNRD60
CCNRD,312,90,312CCNRD90
CCNRD,401,15,401CCNRD15
CCNRD,401,30,401CCNRD30
CCNRD,401,60,401CCNRD60
CCNRD,401,90,401CCNRD90
CCNRD,402,15,402CCNRD15
CCNRD,402,30,402CCNRD30
CCNRD,402,60,402CCNRD60
CCNRD,402,90,402CCNRD90
CCNRD,403,15,403CCNRD15
CCNRD,403,30,403CCNRD30
CCNRD,403,60,403CCNRD60
CCNRD,403,90,403CCNRD90
CCNRD,404,15,404CCNRD15
CCNRD,404,30,404CCNRD30
CCNRD,404,60,404CCNRD60
CCNRD,404,90,404CCNRD90
CCNRD,405,15,405CCNRD15
CCNRD,405,30,405CCNRD30
CCNRD,405,60,405CCNRD60
CCNRD,405,90,405CCNRD90
CCNRD,406,15,406CCNRD15
CCNRD,406,30,406CCNRD30
CCNRD,406,60,406CCNRD60
CCNRD,406,90,406CCNRD90
CCNRD,407,15,407CCNRD15
CCNRD,407,30,407CCNRD30
CCNRD,407,60,407CCNRD60
CCNRD,407,90,407CCNRD90
CCNRD,408,15,408CCNRD15
CCNRD,408,30,408CCNRD30
CCNRD,408,60,408CCNRD60
CCNRD,408,90,408CCNRD90