plot,depth.cm,sample.id,ugC.g.day
101,15,101CCNRD15,122.582965
101,15,101CCNRD15,123.8359224
101,15,101CCNRD15,115.0811278
101,30,101CCNRD30,50.63063234
101,30,101CCNRD30,37.85292392
101,30,101CCNRD30,54.2092714
102,15,102CCNRD15,77.8812736
102,15,102CCNRD15,80.64539498
102,15,102CCNRD15,87.17235163
102,30,102CCNRD30,76.38194825
102,30,102CCNRD30,70.43442799
103,15,103CCNRD15,100.6200406
103,15,103CCNRD15,96.46323853
103,30,103CCNRD30,83.64536658
103,30,103CCNRD30,90.82867843
103,30,103CCNRD30,83.69552278
104,15,104CCNRD15,127.9537525
104,15,104CCNRD15,99.20064445
104,15,104CCNRD15,127.7262189
104,30,104CCNRD30,76.79996783
104,30,104CCNRD30,92.22742272
105,15,105CCNRD15,75.94648091
105,15,105CCNRD15,86.05229013
105,15,105CCNRD15,84.88494023
105,30,105CCNRD30,77.42978569
105,30,105CCNRD30,83.02150548
105,30,105CCNRD30,86.64211801
106,15,106CCNRD15,98.72413928
106,15,106CCNRD15,114.2742218
106,30,106CCNRD30,93.12882539
106,30,106CCNRD30,91.07022272
107,15,107CCNRD15,66.79562839
107,15,107CCNRD15,74.26765613
107,15,107CCNRD15,68.24183178
107,30,107CCNRD30,95.48314204
107,30,107CCNRD30,100.2279647
107,30,107CCNRD30,74.90442457
108,15,108CCNRD15,64.73759442
108,15,108CCNRD15,66.29180466
108,15,108CCNRD15,74.15958942
108,30,108CCNRD30,82.43070123
108,30,108CCNRD30,81.29252736
108,30,108CCNRD30,93.5814427
109,15,109CCNRD15,106.9465386
109,15,109CCNRD15,114.8360957
109,30,109CCNRD30,58.87175409
109,30,109CCNRD30,55.94664849
109,30,109CCNRD30,63.30814319
110,15,110CCNRD15,101.4849632
110,15,110CCNRD15,102.4474997
110,30,110CCNRD30,81.04765254
110,30,110CCNRD30,103.8014843
110,30,110CCNRD30,110.2296233
111,15,111CCNRD15,85.49398673
111,15,111CCNRD15,99.47442663
111,30,111CCNRD30,93.46619776
111,30,111CCNRD30,115.712526
111,30,111CCNRD30,114.5049247
112,15,112CCNRD15,70.63829863
112,15,112CCNRD15,88.19874203
112,15,112CCNRD15,63.14471502
112,30,112CCNRD30,103.7726732
112,30,112CCNRD30,86.37509114
112,30,112CCNRD30,96.19229478
201,15,201CCNRD15,117.8098594
201,15,201CCNRD15,132.759701
201,30,201CCNRD30,100.6244687
201,30,201CCNRD30,108.6147545
201,30,201CCNRD30,83.06070696
202,15,202CCNRD15,86.35724432
202,15,202CCNRD15,76.33323041
202,30,202CCNRD30,73.19739526
202,30,202CCNRD30,74.67193953
202,30,202CCNRD30,77.98739406
203,15,203CCNRD15,88.41584104
203,15,203CCNRD15,97.9218057
203,15,203CCNRD15,92.34740373
203,30,203CCNRD30,97.76707242
203,30,203CCNRD30,82.04980549
204,15,204CCNRD15,103.5754583
204,15,204CCNRD15,104.8443349
204,15,204CCNRD15,110.5551086
204,30,204CCNRD30,76.68900587
204,30,204CCNRD30,77.71766702
204,30,204CCNRD30,66.43461981
205,15,205CCNRD15,97.86967343
205,15,205CCNRD15,103.5480068
205,15,205CCNRD15,92.96193556
205,30,205CCNRD30,96.86139247
205,30,205CCNRD30,100.0144411
205,30,205CCNRD30,95.74603726
206,15,206CCNRD15,103.3616013
206,15,206CCNRD15,83.18793786
206,15,206CCNRD15,94.08638109
206,30,206CCNRD30,87.54739454
206,30,206CCNRD30,71.00459268
206,30,206CCNRD30,92.70346186
207,15,207CCNRD15,86.63703841
207,15,207CCNRD15,88.61662666
207,15,207CCNRD15,67.44860521
207,30,207CCNRD30,83.62592097
207,30,207CCNRD30,79.1801486
207,30,207CCNRD30,80.70734892
208,15,208CCNRD15,115.6944088
208,15,208CCNRD15,105.0421874
208,15,208CCNRD15,118.9834195
208,30,208CCNRD30,100.2425448
208,30,208CCNRD30,85.39736166
208,30,208CCNRD30,88.23934041
209,15,209CCNRD15,121.6467349
209,15,209CCNRD15,111.6494675
209,15,209CCNRD15,88.06544224
209,30,209CCNRD30,106.2922463
209,30,209CCNRD30,108.4399695
209,30,209CCNRD30,116.462458
210,15,210CCNRD15,111.9724052
210,15,210CCNRD15,119.4024944
210,15,210CCNRD15,92.87446089
210,30,210CCNRD30,113.6196381
210,30,210CCNRD30,105.9788573
210,30,210CCNRD30,85.50564595
211,15,211CCNRD15,100.9186385
211,15,211CCNRD15,99.61957529
211,15,211CCNRD15,99.92267042
211,30,211CCNRD30,83.44319393
211,30,211CCNRD30,76.73752351
211,30,211CCNRD30,67.81430898
212,15,212CCNRD15,73.68426788
212,15,212CCNRD15,88.86512757
212,15,212CCNRD15,82.96806879
212,30,212CCNRD30,77.34860584
212,30,212CCNRD30,83.61828338
212,30,212CCNRD30,78.28138533
301,15,301CCNRD15,136.6660615
301,15,301CCNRD15,139.7210747
301,15,301CCNRD15,154.8978161
302,15,302CCNRD15,97.35095362
302,15,302CCNRD15,98.22688395
302,15,302CCNRD15,99.2610777
303,15,303CCNRD15,97.38323745
303,15,303CCNRD15,98.63099006
304,15,304CCNRD15,124.480072
304,15,304CCNRD15,119.9574095
305,15,305CCNRD15,209.7257577
305,15,305CCNRD15,213.4559012
305,15,305CCNRD15,183.8224843
306,15,306CCNRD15,159.546891
306,15,306CCNRD15,203.3052135
307,15,307CCNRD15,147.3331016
307,15,307CCNRD15,180.2398657
308,15,308CCNRD15,171.9337306
308,15,308CCNRD15,169.6816113
308,15,308CCNRD15,149.4831179
309,15,309CCNRD15,251.4702937
309,15,309CCNRD15,180.8727071
309,15,309CCNRD15,217.4361146
310,15,310CCNRD15,200.7998515
310,15,310CCNRD15,178.4886537
310,15,310CCNRD15,198.1164584
311,15,311CCNRD15,195.899836
311,15,311CCNRD15,198.2153399
312,15,312CCNRD15,144.41285
312,15,312CCNRD15,153.369844
401,15,401CCNRD15,200.1965883
401,15,401CCNRD15,238.1613213
402,15,402CCNRD15,196.8947705
402,15,402CCNRD15,170.6585583
402,15,402CCNRD15,210.3891506
403,15,403CCNRD15,184.3038901
403,15,403CCNRD15,167.7392083
403,15,403CCNRD15,196.0330359
404,15,404CCNRD15,224.8689264
404,15,404CCNRD15,213.0868462
404,15,404CCNRD15,187.3071109
405,15,405CCNRD15,165.441986
405,15,405CCNRD15,161.9275649
405,15,405CCNRD15,137.3648197
406,15,406CCNRD15,309.6038329
406,15,406CCNRD15,278.0297992
407,15,407CCNRD15,149.5338156
407,15,407CCNRD15,198.9790088
407,15,407CCNRD15,160.0631629
408,15,408CCNRD15,231.519222
408,15,408CCNRD15,227.7564816
408,15,408CCNRD15,234.4379625