plot,depth.cm,sample.id,ugC.g.day,
101,15,101CCNRD15,217.3356974,
101,15,101CCNRD15,238.4754659,
101,15,101CCNRD15,235.4965928,
101,30,101CCNRD30,50.63063234,
101,30,101CCNRD30,37.85292392,
101,30,101CCNRD30,54.2092714,
101,60,101CCNRD60,76.33962138,
101,60,101CCNRD60,73.94995803,
101,90,101CCNRD90,33.32786444,
101,90,101CCNRD90,31.21344828,
101,90,101CCNRD90,43.95630898,
102,15,102CCNRD15,158.8349539,
102,15,102CCNRD15,137.5181132,
102,15,102CCNRD15,173.769567,
102,30,102CCNRD30,76.38194825,
102,30,102CCNRD30,70.43442799,
102,60,102CCNRD60,37.03894002,
102,60,102CCNRD60,34.75825094,
102,90,102CCNRD90,49.00864061,
102,90,102CCNRD90,46.99889321,
102,90,102CCNRD90,51.96648953,
103,15,103CCNRD15,163.9526986,
103,15,103CCNRD15,195.614148,
103,15,103CCNRD15,179.212007,
103,30,103CCNRD30,83.64536658,
103,30,103CCNRD30,90.82867843,
103,30,103CCNRD30,83.69552278,
103,60,103CCNRD60,54.74175482,
103,60,103CCNRD60,52.73261845,
103,60,103CCNRD60,51.48151633,
103,90,103CCNRD90,50.20881576,
103,90,103CCNRD90,62.85303962,
104,15,104CCNRD15,277.6399139,
104,15,104CCNRD15,320.6704297,
104,15,104CCNRD15,273.6577577,
104,30,104CCNRD30,76.79996783,
104,30,104CCNRD30,92.22742272,
104,60,104CCNRD60,61.16564526,
104,60,104CCNRD60,53.18817143,
104,60,104CCNRD60,69.95186436,
104,90,104CCNRD90,47.69218572,
104,90,104CCNRD90,49.46264858,
104,90,104CCNRD90,42.19565656,
105,15,105CCNRD15,178.603465,
105,15,105CCNRD15,198.306861,
105,15,105CCNRD15,176.0512999,
105,30,105CCNRD30,77.42978569,
105,30,105CCNRD30,83.02150548,
105,30,105CCNRD30,86.64211801,
105,60,105CCNRD60,63.61762864,
105,60,105CCNRD60,65.27629433,
105,60,105CCNRD60,58.24988065,
105,90,105CCNRD90,56.47662867,
105,90,105CCNRD90,50.27929434,
105,90,105CCNRD90,60.11380026,
106,15,106CCNRD15,207.9324617,
106,15,106CCNRD15,201.5946943,
106,15,106CCNRD15,195.7975214,
106,30,106CCNRD30,93.12882539,
106,30,106CCNRD30,91.07022272,
106,60,106CCNRD60,77.42184204,
106,60,106CCNRD60,74.07090372,
106,60,106CCNRD60,76.43694459,
106,90,106CCNRD90,59.22469784,
106,90,106CCNRD90,50.81250267,
106,90,106CCNRD90,45.17999043,
107,15,107CCNRD15,143.7992485,
107,15,107CCNRD15,118.2453363,
107,30,107CCNRD30,95.48314204,
107,30,107CCNRD30,100.2279647,
107,30,107CCNRD30,74.90442457,
107,60,107CCNRD60,46.06668099,
107,60,107CCNRD60,45.46193074,
107,60,107CCNRD60,41.74120136,
107,90,107CCNRD90,32.87407464,
107,90,107CCNRD90,34.62393234,
107,90,107CCNRD90,37.18601462,
108,15,108CCNRD15,131.3222093,
108,15,108CCNRD15,130.1666793,
108,15,108CCNRD15,154.49226,
108,30,108CCNRD30,82.43070123,
108,30,108CCNRD30,81.29252736,
108,30,108CCNRD30,93.5814427,
108,60,108CCNRD60,55.40871082,
108,60,108CCNRD60,51.94982487,
108,90,108CCNRD90,33.49699624,
108,90,108CCNRD90,37.76647157,
109,15,109CCNRD15,219.2643082,
109,15,109CCNRD15,227.4424764,
109,15,109CCNRD15,253.1607205,
109,30,109CCNRD30,58.87175409,
109,30,109CCNRD30,55.94664849,
109,30,109CCNRD30,63.30814319,
109,60,109CCNRD60,23.89255918,
109,60,109CCNRD60,32.52835839,
109,60,109CCNRD60,34.23564034,
109,90,109CCNRD90,40.30095756,
109,90,109CCNRD90,34.09297368,
109,90,109CCNRD90,35.95661212,
110,30,110CCNRD30,81.04765254,
110,30,110CCNRD30,103.8014843,
110,30,110CCNRD30,110.2296233,
110,60,110CCNRD60,41.25614705,
110,60,110CCNRD60,42.69621792,
110,60,110CCNRD60,41.89000657,
110,90,110CCNRD90,49.42071536,
110,90,110CCNRD90,52.61671681,
110,90,110CCNRD90,50.81656103,
111,30,111CCNRD30,93.46619776,
111,30,111CCNRD30,115.712526,
111,30,111CCNRD30,114.5049247,
111,60,111CCNRD60,64.37421413,
111,60,111CCNRD60,44.02501043,
111,90,111CCNRD90,51.82838583,
111,90,111CCNRD90,51.33268205,
111,90,111CCNRD90,46.22168748,
112,30,112CCNRD30,103.7726732,
112,30,112CCNRD30,86.37509114,
112,30,112CCNRD30,96.19229478,
112,60,112CCNRD60,38.79043371,
112,60,112CCNRD60,47.6917652,
112,90,112CCNRD90,29.9268244,
112,90,112CCNRD90,22.41319572,
201,30,201CCNRD30,100.6244687,
201,30,201CCNRD30,108.6147545,
201,30,201CCNRD30,83.06070696,
201,60,201CCNRD60,52.58783416,
201,60,201CCNRD60,57.16711923,
201,90,201CCNRD90,45.90997055,
201,90,201CCNRD90,45.99827499,
201,90,201CCNRD90,38.9993194,
202,30,202CCNRD30,73.19739526,
202,30,202CCNRD30,74.67193953,
202,30,202CCNRD30,77.98739406,
202,60,202CCNRD60,48.19534316,
202,60,202CCNRD60,52.40858063,
202,60,202CCNRD60,44.03278048,
202,90,202CCNRD90,37.78495627,
202,90,202CCNRD90,33.63009745,
202,90,202CCNRD90,41.62936147,
203,30,203CCNRD30,97.76707242,
203,30,203CCNRD30,82.04980549,
203,60,203CCNRD60,73.59520575,
203,60,203CCNRD60,74.24468936,
203,60,203CCNRD60,65.51978004,
203,90,203CCNRD90,48.84066124,
203,90,203CCNRD90,64.17394047,
203,90,203CCNRD90,68.66281745,
204,30,204CCNRD30,76.68900587,
204,30,204CCNRD30,77.71766702,
204,30,204CCNRD30,66.43461981,
204,60,204CCNRD60,52.18514861,
204,60,204CCNRD60,43.97836344,
204,60,204CCNRD60,41.15595092,
204,90,204CCNRD90,37.11905467,
204,90,204CCNRD90,34.51562307,
204,90,204CCNRD90,34.71494988,
205,30,205CCNRD30,96.86139247,
205,30,205CCNRD30,100.0144411,
205,30,205CCNRD30,95.74603726,
205,60,205CCNRD60,57.53854138,
205,60,205CCNRD60,54.50461722,
205,60,205CCNRD60,43.17710339,
205,90,205CCNRD90,58.52531807,
205,90,205CCNRD90,54.2074991,
205,90,205CCNRD90,43.24202524,
206,30,206CCNRD30,87.54739454,
206,30,206CCNRD30,71.00459268,
206,30,206CCNRD30,92.70346186,
206,60,206CCNRD60,56.86745783,
206,60,206CCNRD60,50.51458506,
206,60,206CCNRD60,47.36883648,
206,90,206CCNRD90,46.57223633,
206,90,206CCNRD90,54.51464129,
206,90,206CCNRD90,49.22295127,
207,30,207CCNRD30,83.62592097,
207,30,207CCNRD30,79.1801486,
207,30,207CCNRD30,80.70734892,
207,60,207CCNRD60,40.78073954,
207,60,207CCNRD60,51.67752549,
207,90,207CCNRD90,57.91076597,
207,90,207CCNRD90,47.02556332,
207,90,207CCNRD90,44.90874458,
208,30,208CCNRD30,100.2425448,
208,30,208CCNRD30,85.39736166,
208,30,208CCNRD30,88.23934041,
208,60,208CCNRD60,0.932804949,
208,60,208CCNRD60,17.88431236,
208,60,208CCNRD60,57.23815736,
208,90,208CCNRD90,45.29874303,
208,90,208CCNRD90,36.38829757,
209,30,209CCNRD30,106.2922463,
209,30,209CCNRD30,108.4399695,
209,30,209CCNRD30,116.462458,
209,60,209CCNRD60,55.57330676,
209,60,209CCNRD60,58.77755629,
209,60,209CCNRD60,53.60987339,
209,90,209CCNRD90,46.38427753,
209,90,209CCNRD90,45.47190903,
209,90,209CCNRD90,45.93308135,
210,30,210CCNRD30,113.6196381,
210,30,210CCNRD30,105.9788573,
210,30,210CCNRD30,85.50564595,
210,60,210CCNRD60,57.13775685,
210,60,210CCNRD60,46.5002054,
210,60,210CCNRD60,54.2296903,
210,90,210CCNRD90,37.93893374,
210,90,210CCNRD90,44.57157677,
211,30,211CCNRD30,83.44319393,
211,30,211CCNRD30,76.73752351,
211,30,211CCNRD30,67.81430898,
211,60,211CCNRD60,61.81102858,
211,60,211CCNRD60,59.94061614,
211,90,211CCNRD90,39.39216261,
211,90,211CCNRD90,37.14354496,
211,90,211CCNRD90,39.01033234,
212,30,212CCNRD30,77.34860584,
212,30,212CCNRD30,83.61828338,
212,30,212CCNRD30,78.28138533,
212,60,212CCNRD60,65.63685707,
212,60,212CCNRD60,55.36042212,
212,60,212CCNRD60,55.56455873,
212,90,212CCNRD90,35.63534666,
212,90,212CCNRD90,46.94259397,
212,90,212CCNRD90,43.45900803,
301,30,301CCNRD30,94.7598494,
301,30,301CCNRD30,98.35527468,
301,30,301CCNRD30,121.198892,
301,60,301CCNRD60,44.23579865,
301,60,301CCNRD60,51.05628693,
301,60,301CCNRD60,55.6946208,
301,90,301CCNRD90,28.98076756,
301,90,301CCNRD90,25.77735045,
301,90,301CCNRD90,27.20536956,
302,30,302CCNRD30,102.9584135,
302,30,302CCNRD30,101.8636441,
302,30,302CCNRD30,83.27468959,
302,60,302CCNRD60,100.3377034,
302,60,302CCNRD60,97.00319943,
302,60,302CCNRD60,73.49392459,
302,90,302CCNRD90,50.71095792,
302,90,302CCNRD90,46.03149544,
302,90,302CCNRD90,45.31954386,
303,30,303CCNRD30,122.140466,
303,30,303CCNRD30,110.0473156,
303,30,303CCNRD30,83.67781236,
303,60,303CCNRD60,81.31384591,
303,60,303CCNRD60,79.87983541,
303,60,303CCNRD60,77.53603142,
303,90,303CCNRD90,58.48656303,
303,90,303CCNRD90,57.98345937,
303,90,303CCNRD90,53.22702247,
304,30,304CCNRD30,104.5434534,
304,30,304CCNRD30,106.2395095,
304,60,304CCNRD60,56.27888257,
304,60,304CCNRD60,60.1096509,
304,90,304CCNRD90,37.0555497,
304,90,304CCNRD90,45.16492834,
305,15,305CCNRD15,209.7257577,
305,15,305CCNRD15,213.4559012,
305,15,305CCNRD15,183.8224843,
305,30,305CCNRD30,132.3320947,
305,30,305CCNRD30,127.0189781,
305,30,305CCNRD30,91.33481302,
305,60,305CCNRD60,74.54472642,
305,60,305CCNRD60,76.49700817,
305,90,305CCNRD90,60.56899627,
305,90,305CCNRD90,56.53718155,
306,15,306CCNRD15,159.546891,
306,15,306CCNRD15,203.3052135,
306,30,306CCNRD30,99.00338257,
306,30,306CCNRD30,130.6799764,
306,30,306CCNRD30,108.5632127,
306,60,306CCNRD60,52.609817,
306,60,306CCNRD60,62.3856288,
306,60,306CCNRD60,70.35218167,
306,90,306CCNRD90,44.80927897,
306,90,306CCNRD90,45.40165548,
306,90,306CCNRD90,46.16406765,
307,15,307CCNRD15,147.3331016,
307,15,307CCNRD15,180.2398657,
307,30,307CCNRD30,122.5907028,22.91931652
307,30,307CCNRD30,99.67138628,
307,60,307CCNRD60,67.67672214,
307,60,307CCNRD60,62.60251919,
307,60,307CCNRD60,61.48613397,
307,90,307CCNRD90,55.20590826,
307,90,307CCNRD90,46.29335852,
307,90,307CCNRD90,55.8804082,
308,15,308CCNRD15,171.9337306,
308,15,308CCNRD15,169.6816113,
308,15,308CCNRD15,149.4831179,
308,30,308CCNRD30,124.1102966,
308,30,308CCNRD30,109.6005461,
308,30,308CCNRD30,91.03204486,
308,60,308CCNRD60,73.59140002,
308,60,308CCNRD60,57.00842223,
308,60,308CCNRD60,70.9429591,
308,90,308CCNRD90,49.29911751,
308,90,308CCNRD90,45.60667469,
308,90,308CCNRD90,50.0327747,
309,15,309CCNRD15,251.4702937,
309,15,309CCNRD15,180.8727071,
309,15,309CCNRD15,217.4361146,
309,30,309CCNRD30,158.2269767,
309,30,309CCNRD30,145.98359,
309,60,309CCNRD60,46.09200481,
309,60,309CCNRD60,52.95689446,
309,90,309CCNRD90,44.84953909,
309,90,309CCNRD90,53.34981473,
309,90,309CCNRD90,63.67436856,
310,15,310CCNRD15,200.7998515,
310,15,310CCNRD15,178.4886537,
310,15,310CCNRD15,198.1164584,
310,30,310CCNRD30,112.6636829,
310,30,310CCNRD30,113.1627535,
310,30,310CCNRD30,116.4394603,
310,60,310CCNRD60,38.7189582,
310,60,310CCNRD60,48.72019653,
310,60,310CCNRD60,55.72770727,
310,90,310CCNRD90,50.80074644,
310,90,310CCNRD90,46.03458588,
310,90,310CCNRD90,41.77886235,
311,15,311CCNRD15,195.899836,
311,15,311CCNRD15,198.2153399,
311,30,311CCNRD30,98.78846962,
311,30,311CCNRD30,78.83009383,
311,30,311CCNRD30,91.74019475,
311,60,311CCNRD60,62.7334176,
311,60,311CCNRD60,66.45616263,
311,60,311CCNRD60,66.10917332,
311,90,311CCNRD90,54.41834655,
311,90,311CCNRD90,74.03107707,
311,90,311CCNRD90,77.98822518,
312,15,312CCNRD15,144.41285,
312,15,312CCNRD15,153.369844,
312,30,312CCNRD30,108.853016,
312,30,312CCNRD30,89.06495727,
312,60,312CCNRD60,65.45960846,
312,60,312CCNRD60,71.78589674,
312,90,312CCNRD90,47.10751876,
312,90,312CCNRD90,47.54884944,
312,90,312CCNRD90,43.34424117,
401,15,401CCNRD15,200.1965883,
401,15,401CCNRD15,238.1613213,
401,30,401CCNRD30,82.16932544,
401,30,401CCNRD30,81.98684353,
401,30,401CCNRD30,83.24170943,
401,60,401CCNRD60,63.79383633,
401,60,401CCNRD60,44.45755144,
401,60,401CCNRD60,59.61700185,
401,90,401CCNRD90,45.52272335,
401,90,401CCNRD90,53.18791844,
402,15,402CCNRD15,196.8947705,
402,15,402CCNRD15,170.6585583,
402,15,402CCNRD15,210.3891506,
402,30,402CCNRD30,113.5504575,
402,30,402CCNRD30,140.0369694,
402,30,402CCNRD30,146.235455,
402,60,402CCNRD60,87.92658266,
402,60,402CCNRD60,74.56514123,
402,60,402CCNRD60,70.20584888,
402,90,402CCNRD90,81.46766627,
402,90,402CCNRD90,70.1320393,
402,90,402CCNRD90,81.15510829,
403,15,403CCNRD15,184.3038901,
403,15,403CCNRD15,167.7392083,
403,15,403CCNRD15,196.0330359,
403,30,403CCNRD30,99.42022581,
403,30,403CCNRD30,88.64430578,
403,30,403CCNRD30,85.15337362,
403,60,403CCNRD60,67.86143906,
403,60,403CCNRD60,48.64472583,
403,90,403CCNRD90,43.72553311,
403,90,403CCNRD90,54.74120932,
403,90,403CCNRD90,60.51654828,
404,15,404CCNRD15,224.8689264,
404,15,404CCNRD15,213.0868462,
404,15,404CCNRD15,187.3071109,
404,30,404CCNRD30,143.2212488,
404,30,404CCNRD30,104.6130804,
404,30,404CCNRD30,124.7595493,
404,60,404CCNRD60,48.11452029,
404,60,404CCNRD60,47.39739109,
404,60,404CCNRD60,45.13433903,
404,90,404CCNRD90,53.86821567,
404,90,404CCNRD90,47.23026728,
404,90,404CCNRD90,65.83718573,
405,15,405CCNRD15,165.441986,
405,15,405CCNRD15,161.9275649,
405,15,405CCNRD15,137.3648197,
405,30,405CCNRD30,110.0907311,
405,30,405CCNRD30,108.1925136,
405,60,405CCNRD60,55.77890143,
405,60,405CCNRD60,48.01472823,
405,60,405CCNRD60,49.69557642,
405,90,405CCNRD90,50.89430882,
405,90,405CCNRD90,64.34850617,
405,90,405CCNRD90,63.35108538,
406,15,406CCNRD15,309.6038329,
406,15,406CCNRD15,278.0297992,
406,30,406CCNRD30,130.1876641,
406,30,406CCNRD30,121.4947852,
406,60,406CCNRD60,60.45564557,
406,60,406CCNRD60,52.82057309,
406,60,406CCNRD60,69.86913078,
406,90,406CCNRD90,80.38826515,
406,90,406CCNRD90,71.52484975,
406,90,406CCNRD90,69.75221883,
407,15,407CCNRD15,149.5338156,
407,15,407CCNRD15,198.9790088,
407,15,407CCNRD15,160.0631629,
407,30,407CCNRD30,125.7637453,
407,30,407CCNRD30,118.4847735,
407,30,407CCNRD30,111.5051568,
407,60,407CCNRD60,79.96786383,
407,60,407CCNRD60,62.26522271,
407,60,407CCNRD60,78.21759902,
407,90,407CCNRD90,79.39086417,
407,90,407CCNRD90,85.07670886,
407,90,407CCNRD90,86.96956947,
408,15,408CCNRD15,231.519222,
408,15,408CCNRD15,227.7564816,
408,15,408CCNRD15,234.4379625,
408,30,408CCNRD30,81.89011999,
408,30,408CCNRD30,82.77213432,
408,60,408CCNRD60,40.7802701,
408,60,408CCNRD60,49.23776,
408,60,408CCNRD60,46.36221296,
408,90,408CCNRD90,58.82726477,
408,90,408CCNRD90,47.56996739,
408,90,408CCNRD90,61.00772626,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,